Using options:
08048F24: warning: Unable to resolve imported reference !__gmon_start__.
08049094: warning: Unable to resolve imported reference !isatty.
08049044: warning: Unable to resolve imported reference !access.
08049084: warning: Unable to resolve imported reference !__ctype_b_loc.
08048F94: warning: Unable to resolve imported reference !system.
08048EF4: warning: Unable to resolve imported reference !__longjmp_chk.
08049104: warning: Unable to resolve imported reference !__finite.
080492B4: warning: Unable to resolve imported reference !ceil.
08048E94: warning: Unable to resolve imported reference !fmod.
08048E94: warning: Unable to resolve imported reference !fmod.
08048E94: warning: Unable to resolve imported reference !fmod.
08048E94: warning: Unable to resolve imported reference !fmod.
08048E94: warning: Unable to resolve imported reference !fmod.
08048E94: warning: Unable to resolve imported reference !fmod.
08048FE4: warning: Unable to resolve imported reference !modf.
08048E94: warning: Unable to resolve imported reference !fmod.
08048E94: warning: Unable to resolve imported reference !fmod.
08049104: warning: Unable to resolve imported reference !__finite.
08048E94: warning: Unable to resolve imported reference !fmod.
08048E94: warning: Unable to resolve imported reference !fmod.
080490B4: warning: Unable to resolve imported reference !_setjmp.
08048EF4: warning: Unable to resolve imported reference !__longjmp_chk.
08048E94: warning: Unable to resolve imported reference !fmod.
08049104: warning: Unable to resolve imported reference !__finite.
08049244: warning: Unable to resolve imported reference !__memmove_chk.
080490B4: warning: Unable to resolve imported reference !_setjmp.
08048ED4: warning: Unable to resolve imported reference !qsort.
08048EF4: warning: Unable to resolve imported reference !__longjmp_chk.
08049244: warning: Unable to resolve imported reference !__memmove_chk.
08049244: warning: Unable to resolve imported reference !__memmove_chk.
08049244: warning: Unable to resolve imported reference !__memmove_chk.
08048E94: warning: Unable to resolve imported reference !fmod.
08049244: warning: Unable to resolve imported reference !__memmove_chk.
08049244: warning: Unable to resolve imported reference !__memmove_chk.
08048E94: warning: Unable to resolve imported reference !fmod.
080490B4: warning: Unable to resolve imported reference !_setjmp.
08048EF4: warning: Unable to resolve imported reference !__longjmp_chk.
08049084: warning: Unable to resolve imported reference !__ctype_b_loc.
08049254: warning: Unable to resolve imported reference !add_history.
08048E94: warning: Unable to resolve imported reference !fmod.
08048F64: warning: Unable to resolve imported reference !strtod.
08049084: warning: Unable to resolve imported reference !__ctype_b_loc.
08048E94: warning: Unable to resolve imported reference !fmod.
08048F64: warning: Unable to resolve imported reference !strtod.
08049084: warning: Unable to resolve imported reference !__ctype_b_loc.
08048F64: warning: Unable to resolve imported reference !strtod.
08049194: warning: Unable to resolve imported reference !atan2.
08048FA4: warning: Unable to resolve imported reference !pow.
080490E4: warning: Unable to resolve imported reference !cos.
08049264: warning: Unable to resolve imported reference !sin.
08048F64: warning: Unable to resolve imported reference !strtod.
08048E94: warning: Unable to resolve imported reference !fmod.
08048ED4: warning: Unable to resolve imported reference !qsort.
08048E94: warning: Unable to resolve imported reference !fmod.
08048E94: warning: Unable to resolve imported reference !fmod.
08048E94: warning: Unable to resolve imported reference !fmod.
080490B4: warning: Unable to resolve imported reference !_setjmp.
08048EF4: warning: Unable to resolve imported reference !__longjmp_chk.
080490B4: warning: Unable to resolve imported reference !_setjmp.
08048EF4: warning: Unable to resolve imported reference !__longjmp_chk.
08049244: warning: Unable to resolve imported reference !__memmove_chk.
08049244: warning: Unable to resolve imported reference !__memmove_chk.
08049244: warning: Unable to resolve imported reference !__memmove_chk.
08048E94: warning: Unable to resolve imported reference !fmod.
08048FA4: warning: Unable to resolve imported reference !pow.
08049104: warning: Unable to resolve imported reference !__finite.
080491A4: warning: Unable to resolve imported reference !__isnan.
080490B4: warning: Unable to resolve imported reference !_setjmp.
08049064: warning: Unable to resolve imported reference !mkstemp.
08049044: warning: Unable to resolve imported reference !access.
08048F64: warning: Unable to resolve imported reference !strtod.
08048F64: warning: Unable to resolve imported reference !strtod.
08048F64: warning: Unable to resolve imported reference !strtod.
08048E94: warning: Unable to resolve imported reference !fmod.
08048FE4: warning: Unable to resolve imported reference !modf.
08049044: warning: Unable to resolve imported reference !access.
08049044: warning: Unable to resolve imported reference !access.
08048ED4: warning: Unable to resolve imported reference !qsort.
08049084: warning: Unable to resolve imported reference !__ctype_b_loc.
08048F64: warning: Unable to resolve imported reference !strtod.
08049084: warning: Unable to resolve imported reference !__ctype_b_loc.
main: error: An error occurred during data flow analysis.
    Case PE not handled.
      at Reko.Analysis.ConditionCodeEliminator.ComparisonFromConditionCode (ConditionCode cc, Reko.Core.Expressions.BinaryExpression bin, Boolean isNegated) <0x41d89be0 + 0x002e7> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.UseGrfConditionally (Reko.Analysis.SsaIdentifier sid, ConditionCode cc) <0x41d895c0 + 0x00283> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.VisitTestCondition (Reko.Core.Expressions.TestCondition tc) <0x41d894c0 + 0x00097> in <filename unknown>:0 
  at Reko.Core.Expressions.TestCondition.Accept[T] (ExpressionVisitor`1 visitor) <0x41d33770 + 0x00030> in <filename unknown>:0 
  at Reko.Core.Code.InstructionTransformer.TransformBranch (Reko.Core.Code.Branch b) <0x41d84770 + 0x0002f> in <filename unknown>:0 
  at Reko.Core.Code.Branch.Accept (Reko.Core.Code.InstructionTransformer xform) <0x41d84740 + 0x00020> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.Transform () <0x41d889c0 + 0x00205> in <filename unknown>:0 
  at Reko.Analysis.DataFlowAnalysis.BuildExpressionTrees () <0x41d75000 + 0x004f3> in <filename unknown>:0 
check_divide_by_zero: error: An error occurred during data flow analysis.
    Case PE not handled.
      at Reko.Analysis.ConditionCodeEliminator.ComparisonFromConditionCode (ConditionCode cc, Reko.Core.Expressions.BinaryExpression bin, Boolean isNegated) <0x41d89be0 + 0x002e7> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.UseGrfConditionally (Reko.Analysis.SsaIdentifier sid, ConditionCode cc) <0x41d895c0 + 0x00283> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.VisitTestCondition (Reko.Core.Expressions.TestCondition tc) <0x41d894c0 + 0x00097> in <filename unknown>:0 
  at Reko.Core.Expressions.TestCondition.Accept[T] (ExpressionVisitor`1 visitor) <0x41d33770 + 0x00030> in <filename unknown>:0 
  at Reko.Core.Code.InstructionTransformer.TransformBranch (Reko.Core.Code.Branch b) <0x41d84770 + 0x0002f> in <filename unknown>:0 
  at Reko.Core.Code.Branch.Accept (Reko.Core.Code.InstructionTransformer xform) <0x41d84740 + 0x00020> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.Transform () <0x41d889c0 + 0x00205> in <filename unknown>:0 
  at Reko.Analysis.DataFlowAnalysis.BuildExpressionTrees () <0x41d75000 + 0x004f3> in <filename unknown>:0 
g_of_f: error: An error occurred during data flow analysis.
    Case PE not handled.
      at Reko.Analysis.ConditionCodeEliminator.ComparisonFromConditionCode (ConditionCode cc, Reko.Core.Expressions.BinaryExpression bin, Boolean isNegated) <0x41d89be0 + 0x002e7> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.UseGrfConditionally (Reko.Analysis.SsaIdentifier sid, ConditionCode cc) <0x41d895c0 + 0x00283> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.VisitTestCondition (Reko.Core.Expressions.TestCondition tc) <0x41d894c0 + 0x00097> in <filename unknown>:0 
  at Reko.Core.Expressions.TestCondition.Accept[T] (ExpressionVisitor`1 visitor) <0x41d33770 + 0x00030> in <filename unknown>:0 
  at Reko.Core.Code.InstructionTransformer.TransformBranch (Reko.Core.Code.Branch b) <0x41d84770 + 0x0002f> in <filename unknown>:0 
  at Reko.Core.Code.Branch.Accept (Reko.Core.Code.InstructionTransformer xform) <0x41d84740 + 0x00020> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.Transform () <0x41d889c0 + 0x00205> in <filename unknown>:0 
  at Reko.Analysis.DataFlowAnalysis.BuildExpressionTrees () <0x41d75000 + 0x004f3> in <filename unknown>:0 
quad_solve: error: An error occurred during data flow analysis.
    Case PE not handled.
      at Reko.Analysis.ConditionCodeEliminator.ComparisonFromConditionCode (ConditionCode cc, Reko.Core.Expressions.BinaryExpression bin, Boolean isNegated) <0x41d89be0 + 0x002e7> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.UseGrfConditionally (Reko.Analysis.SsaIdentifier sid, ConditionCode cc) <0x41d895c0 + 0x00283> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.VisitTestCondition (Reko.Core.Expressions.TestCondition tc) <0x41d894c0 + 0x00097> in <filename unknown>:0 
  at Reko.Core.Expressions.TestCondition.Accept[T] (ExpressionVisitor`1 visitor) <0x41d33770 + 0x00030> in <filename unknown>:0 
  at Reko.Core.Code.InstructionTransformer.TransformBranch (Reko.Core.Code.Branch b) <0x41d84770 + 0x0002f> in <filename unknown>:0 
  at Reko.Core.Code.Branch.Accept (Reko.Core.Code.InstructionTransformer xform) <0x41d84740 + 0x00020> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.Transform () <0x41d889c0 + 0x00205> in <filename unknown>:0 
  at Reko.Analysis.DataFlowAnalysis.BuildExpressionTrees () <0x41d75000 + 0x004f3> in <filename unknown>:0 
solve_sub: error: An error occurred during data flow analysis.
    Case PE not handled.
      at Reko.Analysis.ConditionCodeEliminator.ComparisonFromConditionCode (ConditionCode cc, Reko.Core.Expressions.BinaryExpression bin, Boolean isNegated) <0x41d89be0 + 0x002e7> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.UseGrfConditionally (Reko.Analysis.SsaIdentifier sid, ConditionCode cc) <0x41d895c0 + 0x00283> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.VisitTestCondition (Reko.Core.Expressions.TestCondition tc) <0x41d894c0 + 0x00097> in <filename unknown>:0 
  at Reko.Core.Expressions.TestCondition.Accept[T] (ExpressionVisitor`1 visitor) <0x41d33770 + 0x00030> in <filename unknown>:0 
  at Reko.Core.Code.InstructionTransformer.TransformBranch (Reko.Core.Code.Branch b) <0x41d84770 + 0x0002f> in <filename unknown>:0 
  at Reko.Core.Code.Branch.Accept (Reko.Core.Code.InstructionTransformer xform) <0x41d84740 + 0x00020> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.Transform () <0x41d889c0 + 0x00205> in <filename unknown>:0 
  at Reko.Analysis.DataFlowAnalysis.BuildExpressionTrees () <0x41d75000 + 0x004f3> in <filename unknown>:0 
process_parse: error: An error occurred during data flow analysis.
    Case PE not handled.
      at Reko.Analysis.ConditionCodeEliminator.ComparisonFromConditionCode (ConditionCode cc, Reko.Core.Expressions.BinaryExpression bin, Boolean isNegated) <0x41d89be0 + 0x002e7> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.UseGrfConditionally (Reko.Analysis.SsaIdentifier sid, ConditionCode cc) <0x41d895c0 + 0x00283> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.VisitTestCondition (Reko.Core.Expressions.TestCondition tc) <0x41d894c0 + 0x00097> in <filename unknown>:0 
  at Reko.Core.Expressions.TestCondition.Accept[T] (ExpressionVisitor`1 visitor) <0x41d33770 + 0x00030> in <filename unknown>:0 
  at Reko.Core.Code.InstructionTransformer.TransformBranch (Reko.Core.Code.Branch b) <0x41d84770 + 0x0002f> in <filename unknown>:0 
  at Reko.Core.Code.Branch.Accept (Reko.Core.Code.InstructionTransformer xform) <0x41d84740 + 0x00020> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.Transform () <0x41d889c0 + 0x00205> in <filename unknown>:0 
  at Reko.Analysis.DataFlowAnalysis.BuildExpressionTrees () <0x41d75000 + 0x004f3> in <filename unknown>:0 
display_fraction: error: An error occurred during data flow analysis.
    Case PE not handled.
      at Reko.Analysis.ConditionCodeEliminator.ComparisonFromConditionCode (ConditionCode cc, Reko.Core.Expressions.BinaryExpression bin, Boolean isNegated) <0x41d89be0 + 0x002e7> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.UseGrfConditionally (Reko.Analysis.SsaIdentifier sid, ConditionCode cc) <0x41d895c0 + 0x00283> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.VisitTestCondition (Reko.Core.Expressions.TestCondition tc) <0x41d894c0 + 0x00097> in <filename unknown>:0 
  at Reko.Core.Expressions.TestCondition.Accept[T] (ExpressionVisitor`1 visitor) <0x41d33770 + 0x00030> in <filename unknown>:0 
  at Reko.Core.Code.InstructionTransformer.TransformBranch (Reko.Core.Code.Branch b) <0x41d84770 + 0x0002f> in <filename unknown>:0 
  at Reko.Core.Code.Branch.Accept (Reko.Core.Code.InstructionTransformer xform) <0x41d84740 + 0x00020> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.Transform () <0x41d889c0 + 0x00205> in <filename unknown>:0 
  at Reko.Analysis.DataFlowAnalysis.BuildExpressionTrees () <0x41d75000 + 0x004f3> in <filename unknown>:0 
divide_cmd: error: An error occurred during data flow analysis.
    Case PE not handled.
      at Reko.Analysis.ConditionCodeEliminator.ComparisonFromConditionCode (ConditionCode cc, Reko.Core.Expressions.BinaryExpression bin, Boolean isNegated) <0x41d89be0 + 0x002e7> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.UseGrfConditionally (Reko.Analysis.SsaIdentifier sid, ConditionCode cc) <0x41d895c0 + 0x00283> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.VisitTestCondition (Reko.Core.Expressions.TestCondition tc) <0x41d894c0 + 0x00097> in <filename unknown>:0 
  at Reko.Core.Expressions.TestCondition.Accept[T] (ExpressionVisitor`1 visitor) <0x41d33770 + 0x00030> in <filename unknown>:0 
  at Reko.Core.Code.InstructionTransformer.TransformBranch (Reko.Core.Code.Branch b) <0x41d84770 + 0x0002f> in <filename unknown>:0 
  at Reko.Core.Code.Branch.Accept (Reko.Core.Code.InstructionTransformer xform) <0x41d84740 + 0x00020> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.Transform () <0x41d889c0 + 0x00205> in <filename unknown>:0 
  at Reko.Analysis.DataFlowAnalysis.BuildExpressionTrees () <0x41d75000 + 0x004f3> in <filename unknown>:0 
sum_product: error: An error occurred during data flow analysis.
    Case PE not handled.
      at Reko.Analysis.ConditionCodeEliminator.ComparisonFromConditionCode (ConditionCode cc, Reko.Core.Expressions.BinaryExpression bin, Boolean isNegated) <0x41d89be0 + 0x002e7> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.UseGrfConditionally (Reko.Analysis.SsaIdentifier sid, ConditionCode cc) <0x41d895c0 + 0x00283> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.VisitTestCondition (Reko.Core.Expressions.TestCondition tc) <0x41d894c0 + 0x00097> in <filename unknown>:0 
  at Reko.Core.Expressions.TestCondition.Accept[T] (ExpressionVisitor`1 visitor) <0x41d33770 + 0x00030> in <filename unknown>:0 
  at Reko.Core.Code.InstructionTransformer.TransformBranch (Reko.Core.Code.Branch b) <0x41d84770 + 0x0002f> in <filename unknown>:0 
  at Reko.Core.Code.Branch.Accept (Reko.Core.Code.InstructionTransformer xform) <0x41d84740 + 0x00020> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.Transform () <0x41d889c0 + 0x00205> in <filename unknown>:0 
  at Reko.Analysis.DataFlowAnalysis.BuildExpressionTrees () <0x41d75000 + 0x004f3> in <filename unknown>:0 
simp_constant_power: error: An error occurred during data flow analysis.
    Case PE not handled.
      at Reko.Analysis.ConditionCodeEliminator.ComparisonFromConditionCode (ConditionCode cc, Reko.Core.Expressions.BinaryExpression bin, Boolean isNegated) <0x41d89be0 + 0x002e7> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.UseGrfConditionally (Reko.Analysis.SsaIdentifier sid, ConditionCode cc) <0x41d895c0 + 0x00283> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.VisitTestCondition (Reko.Core.Expressions.TestCondition tc) <0x41d894c0 + 0x00097> in <filename unknown>:0 
  at Reko.Core.Expressions.TestCondition.Accept[T] (ExpressionVisitor`1 visitor) <0x41d33770 + 0x00030> in <filename unknown>:0 
  at Reko.Core.Code.InstructionTransformer.TransformBranch (Reko.Core.Code.Branch b) <0x41d84770 + 0x0002f> in <filename unknown>:0 
  at Reko.Core.Code.Branch.Accept (Reko.Core.Code.InstructionTransformer xform) <0x41d84740 + 0x00020> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.Transform () <0x41d889c0 + 0x00205> in <filename unknown>:0 
  at Reko.Analysis.DataFlowAnalysis.BuildExpressionTrees () <0x41d75000 + 0x004f3> in <filename unknown>:0 
rationalize: error: An error occurred during data flow analysis.
    Case PE not handled.
      at Reko.Analysis.ConditionCodeEliminator.ComparisonFromConditionCode (ConditionCode cc, Reko.Core.Expressions.BinaryExpression bin, Boolean isNegated) <0x41d89be0 + 0x002e7> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.UseGrfConditionally (Reko.Analysis.SsaIdentifier sid, ConditionCode cc) <0x41d895c0 + 0x00283> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.VisitTestCondition (Reko.Core.Expressions.TestCondition tc) <0x41d894c0 + 0x00097> in <filename unknown>:0 
  at Reko.Core.Expressions.TestCondition.Accept[T] (ExpressionVisitor`1 visitor) <0x41d33770 + 0x00030> in <filename unknown>:0 
  at Reko.Core.Code.InstructionTransformer.TransformBranch (Reko.Core.Code.Branch b) <0x41d84770 + 0x0002f> in <filename unknown>:0 
  at Reko.Core.Code.Branch.Accept (Reko.Core.Code.InstructionTransformer xform) <0x41d84740 + 0x00020> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.Transform () <0x41d889c0 + 0x00205> in <filename unknown>:0 
  at Reko.Analysis.DataFlowAnalysis.BuildExpressionTrees () <0x41d75000 + 0x004f3> in <filename unknown>:0 
elim_sign: error: An error occurred during data flow analysis.
    Case PE not handled.
      at Reko.Analysis.ConditionCodeEliminator.ComparisonFromConditionCode (ConditionCode cc, Reko.Core.Expressions.BinaryExpression bin, Boolean isNegated) <0x41d89be0 + 0x002e7> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.UseGrfConditionally (Reko.Analysis.SsaIdentifier sid, ConditionCode cc) <0x41d895c0 + 0x00283> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.VisitTestCondition (Reko.Core.Expressions.TestCondition tc) <0x41d894c0 + 0x00097> in <filename unknown>:0 
  at Reko.Core.Expressions.TestCondition.Accept[T] (ExpressionVisitor`1 visitor) <0x41d33770 + 0x00030> in <filename unknown>:0 
  at Reko.Core.Code.InstructionTransformer.TransformBranch (Reko.Core.Code.Branch b) <0x41d84770 + 0x0002f> in <filename unknown>:0 
  at Reko.Core.Code.Branch.Accept (Reko.Core.Code.InstructionTransformer xform) <0x41d84740 + 0x00020> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.Transform () <0x41d889c0 + 0x00205> in <filename unknown>:0 
  at Reko.Analysis.DataFlowAnalysis.BuildExpressionTrees () <0x41d75000 + 0x004f3> in <filename unknown>:0 
simp_pp: error: An error occurred during data flow analysis.
    Case PE not handled.
      at Reko.Analysis.ConditionCodeEliminator.ComparisonFromConditionCode (ConditionCode cc, Reko.Core.Expressions.BinaryExpression bin, Boolean isNegated) <0x41d89be0 + 0x002e7> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.UseGrfConditionally (Reko.Analysis.SsaIdentifier sid, ConditionCode cc) <0x41d895c0 + 0x00283> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.VisitTestCondition (Reko.Core.Expressions.TestCondition tc) <0x41d894c0 + 0x00097> in <filename unknown>:0 
  at Reko.Core.Expressions.TestCondition.Accept[T] (ExpressionVisitor`1 visitor) <0x41d33770 + 0x00030> in <filename unknown>:0 
  at Reko.Core.Code.InstructionTransformer.TransformBranch (Reko.Core.Code.Branch b) <0x41d84770 + 0x0002f> in <filename unknown>:0 
  at Reko.Core.Code.Branch.Accept (Reko.Core.Code.InstructionTransformer xform) <0x41d84740 + 0x00020> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.Transform () <0x41d889c0 + 0x00205> in <filename unknown>:0 
  at Reko.Analysis.DataFlowAnalysis.BuildExpressionTrees () <0x41d75000 + 0x004f3> in <filename unknown>:0 
compare_recurse: error: An error occurred during data flow analysis.
    Case PE not handled.
      at Reko.Analysis.ConditionCodeEliminator.ComparisonFromConditionCode (ConditionCode cc, Reko.Core.Expressions.BinaryExpression bin, Boolean isNegated) <0x41d89be0 + 0x002e7> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.UseGrfConditionally (Reko.Analysis.SsaIdentifier sid, ConditionCode cc) <0x41d895c0 + 0x00283> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.VisitTestCondition (Reko.Core.Expressions.TestCondition tc) <0x41d894c0 + 0x00097> in <filename unknown>:0 
  at Reko.Core.Expressions.TestCondition.Accept[T] (ExpressionVisitor`1 visitor) <0x41d33770 + 0x00030> in <filename unknown>:0 
  at Reko.Core.Code.InstructionTransformer.TransformBranch (Reko.Core.Code.Branch b) <0x41d84770 + 0x0002f> in <filename unknown>:0 
  at Reko.Core.Code.Branch.Accept (Reko.Core.Code.InstructionTransformer xform) <0x41d84740 + 0x00020> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.Transform () <0x41d889c0 + 0x00205> in <filename unknown>:0 
  at Reko.Analysis.DataFlowAnalysis.BuildExpressionTrees () <0x41d75000 + 0x004f3> in <filename unknown>:0 
elim_k: error: An error occurred during data flow analysis.
    Case PE not handled.
      at Reko.Analysis.ConditionCodeEliminator.ComparisonFromConditionCode (ConditionCode cc, Reko.Core.Expressions.BinaryExpression bin, Boolean isNegated) <0x41d89be0 + 0x002e7> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.UseGrfConditionally (Reko.Analysis.SsaIdentifier sid, ConditionCode cc) <0x41d895c0 + 0x00283> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.VisitTestCondition (Reko.Core.Expressions.TestCondition tc) <0x41d894c0 + 0x00097> in <filename unknown>:0 
  at Reko.Core.Expressions.TestCondition.Accept[T] (ExpressionVisitor`1 visitor) <0x41d33770 + 0x00030> in <filename unknown>:0 
  at Reko.Core.Code.InstructionTransformer.TransformBranch (Reko.Core.Code.Branch b) <0x41d84770 + 0x0002f> in <filename unknown>:0 
  at Reko.Core.Code.Branch.Accept (Reko.Core.Code.InstructionTransformer xform) <0x41d84740 + 0x00020> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.Transform () <0x41d889c0 + 0x00205> in <filename unknown>:0 
  at Reko.Analysis.DataFlowAnalysis.BuildExpressionTrees () <0x41d75000 + 0x004f3> in <filename unknown>:0 
const_recurse: error: An error occurred during data flow analysis.
    Case PE not handled.
      at Reko.Analysis.ConditionCodeEliminator.ComparisonFromConditionCode (ConditionCode cc, Reko.Core.Expressions.BinaryExpression bin, Boolean isNegated) <0x41d89be0 + 0x002e7> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.UseGrfConditionally (Reko.Analysis.SsaIdentifier sid, ConditionCode cc) <0x41d895c0 + 0x00283> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.VisitTestCondition (Reko.Core.Expressions.TestCondition tc) <0x41d894c0 + 0x00097> in <filename unknown>:0 
  at Reko.Core.Expressions.TestCondition.Accept[T] (ExpressionVisitor`1 visitor) <0x41d33770 + 0x00030> in <filename unknown>:0 
  at Reko.Core.Code.InstructionTransformer.TransformBranch (Reko.Core.Code.Branch b) <0x41d84770 + 0x0002f> in <filename unknown>:0 
  at Reko.Core.Code.Branch.Accept (Reko.Core.Code.InstructionTransformer xform) <0x41d84740 + 0x00020> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.Transform () <0x41d889c0 + 0x00205> in <filename unknown>:0 
  at Reko.Analysis.DataFlowAnalysis.BuildExpressionTrees () <0x41d75000 + 0x004f3> in <filename unknown>:0 
integer_root_simp: error: An error occurred during data flow analysis.
    Case PE not handled.
      at Reko.Analysis.ConditionCodeEliminator.ComparisonFromConditionCode (ConditionCode cc, Reko.Core.Expressions.BinaryExpression bin, Boolean isNegated) <0x41d89be0 + 0x002e7> in <filename unknown>:0 
  at Reko.Analysis.ConditionCodeEliminator.UseGrfConditionally (Reko.Analysis.SsaIdentifier sid, ConditionCode cc) <0x41d895c0 + 0x00283> in <filename unknown>:0 
